"variable","conditionage","Matched","Unmatched unique census","Unmatched unique socsec","Unmatched unique all","Unmatched non-unique census","Unmatched non-unique socsec","Unmatched non-unique all"
"prop ssn info missing",5,0.981,0.981,NA,NA,0.981,NA,NA
"prop head",5,0.001,0.003,NA,NA,0.001,NA,NA
"prop not head",5,0.996,0.994,NA,NA,0.995,NA,NA
"prop hh_head missing",5,0.003,0.003,NA,NA,0.003,NA,NA
"# obs",10,53415,182797,645821,49687470,88609,356414,24805933
"median income",10,0,0,NA,NA,0,NA,NA
"prop inc missing",10,0.953,0.945,NA,NA,0.947,NA,NA
"prop inc zero",10,0.044,0.051,NA,NA,0.049,NA,NA
"prop white",10,0.969,0.968,NA,NA,0.95,NA,NA
"prop black",10,0.027,0.027,NA,NA,0.047,NA,NA
"prop other",10,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",10,0.003,0.004,NA,NA,0.003,NA,NA
"prop high school",10,0.005,0.006,NA,NA,0.005,NA,NA
"prop college",10,0.001,0.001,NA,NA,0.001,NA,NA
"median educ",10,4,4,NA,NA,4,NA,NA
"prop educ missing",10,0.017,0.02,NA,NA,0.019,NA,NA
"prop own",10,0.001,0.002,NA,NA,0.002,NA,NA
"prop rent",10,0.002,0.002,NA,NA,0.002,NA,NA
"prop own/rent missing",10,0.997,0.996,NA,NA,0.996,NA,NA
"prop rural",10,0.101,0.101,NA,NA,0.102,NA,NA
"prop urban",10,0.853,0.847,NA,NA,0.847,NA,NA
"prop rural/urban missing",10,0.046,0.052,NA,NA,0.051,NA,NA
"prop ssn yes",10,0.001,0.001,NA,NA,0.001,NA,NA
"prop ssn no",10,0.019,0.019,NA,NA,0.019,NA,NA
"prop ssn info missing",10,0.98,0.98,NA,NA,0.98,NA,NA
"prop head",10,0,0.001,NA,NA,0.001,NA,NA
"prop not head",10,0.996,0.994,NA,NA,0.994,NA,NA
"prop hh_head missing",10,0.004,0.005,NA,NA,0.005,NA,NA
"# obs",15,72161,178065,894132,49687470,92564,540049,24805933
"median income",15,0,0,NA,NA,0,NA,NA
"prop inc missing",15,0.228,0.241,NA,NA,0.244,NA,NA
"prop inc zero",15,0.731,0.72,NA,NA,0.711,NA,NA
"prop white",15,0.978,0.971,NA,NA,0.952,NA,NA
"prop black",15,0.019,0.025,NA,NA,0.045,NA,NA
"prop other",15,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",15,0.002,0.003,NA,NA,0.002,NA,NA
"prop high school",15,0.007,0.008,NA,NA,0.008,NA,NA
"prop college",15,0,0,NA,NA,0,NA,NA
"median educ",15,8,8,NA,NA,8,NA,NA
"prop educ missing",15,0.017,0.02,NA,NA,0.02,NA,NA
"prop own",15,0.002,0.002,NA,NA,0.002,NA,NA
"prop rent",15,0.002,0.003,NA,NA,0.002,NA,NA
"prop own/rent missing",15,0.996,0.995,NA,NA,0.995,NA,NA
"prop rural",15,0.092,0.092,NA,NA,0.094,NA,NA
"prop urban",15,0.873,0.87,NA,NA,0.868,NA,NA
"prop rural/urban missing",15,0.035,0.039,NA,NA,0.037,NA,NA
"prop ssn yes",15,0.002,0.002,NA,NA,0.002,NA,NA
"prop ssn no",15,0.033,0.033,NA,NA,0.033,NA,NA
"prop ssn info missing",15,0.965,0.965,NA,NA,0.965,NA,NA
"prop head",15,0.001,0.002,NA,NA,0.002,NA,NA
"prop not head",15,0.994,0.991,NA,NA,0.989,NA,NA
"prop hh_head missing",15,0.005,0.007,NA,NA,0.009,NA,NA
"# obs",20,75193,160885,1041287,49687470,78848,632150,24805933
"median income",20,180,188,NA,NA,200,NA,NA
"prop inc missing",20,0.091,0.102,NA,NA,0.105,NA,NA
"prop inc zero",20,0.319,0.317,NA,NA,0.3,NA,NA
"prop white",20,0.981,0.971,NA,NA,0.951,NA,NA
"prop black",20,0.016,0.025,NA,NA,0.045,NA,NA
"prop other",20,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",20,0.002,0.003,NA,NA,0.003,NA,NA
"prop high school",20,0.491,0.46,NA,NA,0.505,NA,NA
"prop college",20,0.004,0.005,NA,NA,0.005,NA,NA
"median educ",20,11,11,NA,NA,12,NA,NA
"prop educ missing",20,0.018,0.021,NA,NA,0.02,NA,NA
"prop own",20,0.007,0.01,NA,NA,0.009,NA,NA
"prop rent",20,0.051,0.054,NA,NA,0.061,NA,NA
"prop own/rent missing",20,0.941,0.935,NA,NA,0.929,NA,NA
"prop rural",20,0.106,0.106,NA,NA,0.114,NA,NA
"prop urban",20,0.864,0.859,NA,NA,0.854,NA,NA
"prop rural/urban missing",20,0.03,0.034,NA,NA,0.033,NA,NA
"prop ssn yes",20,0.028,0.027,NA,NA,0.028,NA,NA
"prop ssn no",20,0.015,0.016,NA,NA,0.015,NA,NA
"prop ssn info missing",20,0.957,0.957,NA,NA,0.957,NA,NA
"prop head",20,0.057,0.063,NA,NA,0.069,NA,NA
"prop not head",20,0.929,0.92,NA,NA,0.909,NA,NA
"prop hh_head missing",20,0.015,0.017,NA,NA,0.023,NA,NA
"# obs",25,74893,162204,1098330,49687470,72367,645408,24805933
"median income",25,700,650,NA,NA,700,NA,NA
"prop inc missing",25,0.058,0.071,NA,NA,0.07,NA,NA
"prop inc zero",25,0.18,0.177,NA,NA,0.161,NA,NA
"prop white",25,0.981,0.966,NA,NA,0.946,NA,NA
"prop black",25,0.017,0.03,NA,NA,0.051,NA,NA
"prop other",25,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",25,0.001,0.003,NA,NA,0.002,NA,NA
"prop high school",25,0.458,0.413,NA,NA,0.461,NA,NA
"prop college",25,0.059,0.054,NA,NA,0.067,NA,NA
"median educ",25,11,10,NA,NA,11,NA,NA
"prop educ missing",25,0.02,0.025,NA,NA,0.025,NA,NA
"prop own",25,0.078,0.068,NA,NA,0.072,NA,NA
"prop rent",25,0.379,0.338,NA,NA,0.365,NA,NA
"prop own/rent missing",25,0.542,0.593,NA,NA,0.562,NA,NA
"prop rural",25,0.133,0.119,NA,NA,0.128,NA,NA
"prop urban",25,0.844,0.853,NA,NA,0.847,NA,NA
"prop rural/urban missing",25,0.023,0.028,NA,NA,0.025,NA,NA
"prop ssn yes",25,0.033,0.034,NA,NA,0.035,NA,NA
"prop ssn no",25,0.011,0.011,NA,NA,0.011,NA,NA
"prop ssn info missing",25,0.956,0.955,NA,NA,0.955,NA,NA
"prop head",25,0.462,0.412,NA,NA,0.445,NA,NA
"prop not head",25,0.527,0.572,NA,NA,0.538,NA,NA
"prop hh_head missing",25,0.011,0.016,NA,NA,0.018,NA,NA
"# obs",30,69342,164957,990454,49687470,72736,574973,24805933
"median income",30,936,840,NA,NA,900,NA,NA
"prop inc missing",30,0.063,0.07,NA,NA,0.069,NA,NA
"prop inc zero",30,0.195,0.186,NA,NA,0.172,NA,NA
"prop white",30,0.978,0.959,NA,NA,0.933,NA,NA
"prop black",30,0.02,0.037,NA,NA,0.064,NA,NA
"prop other",30,0,0.001,NA,NA,0.001,NA,NA
"prop race missing",30,0.002,0.004,NA,NA,0.002,NA,NA
"prop high school",30,0.366,0.326,NA,NA,0.363,NA,NA
"prop college",30,0.071,0.058,NA,NA,0.068,NA,NA
"median educ",30,10,9,NA,NA,10,NA,NA
"prop educ missing",30,0.024,0.027,NA,NA,0.027,NA,NA
"prop own",30,0.194,0.162,NA,NA,0.164,NA,NA
"prop rent",30,0.51,0.463,NA,NA,0.481,NA,NA
"prop own/rent missing",30,0.295,0.375,NA,NA,0.354,NA,NA
"prop rural",30,0.124,0.108,NA,NA,0.109,NA,NA
"prop urban",30,0.859,0.87,NA,NA,0.868,NA,NA
"prop rural/urban missing",30,0.017,0.023,NA,NA,0.022,NA,NA
"prop ssn yes",30,0.034,0.034,NA,NA,0.032,NA,NA
"prop ssn no",30,0.013,0.011,NA,NA,0.011,NA,NA
"prop ssn info missing",30,0.954,0.955,NA,NA,0.957,NA,NA
"prop head",30,0.715,0.635,NA,NA,0.656,NA,NA
"prop not head",30,0.276,0.353,NA,NA,0.328,NA,NA
"prop hh_head missing",30,0.008,0.012,NA,NA,0.015,NA,NA
"# obs",35,55315,169770,803529,49687470,69163,425663,24805933
"median income",35,1000,925,NA,NA,988,NA,NA
"prop inc missing",35,0.066,0.072,NA,NA,0.071,NA,NA
"prop inc zero",35,0.221,0.204,NA,NA,0.189,NA,NA
"prop white",35,0.976,0.956,NA,NA,0.928,NA,NA
"prop black",35,0.022,0.04,NA,NA,0.069,NA,NA
"prop other",35,0,0.001,NA,NA,0.001,NA,NA
"prop race missing",35,0.001,0.003,NA,NA,0.002,NA,NA
"prop high school",35,0.306,0.27,NA,NA,0.294,NA,NA
"prop college",35,0.072,0.058,NA,NA,0.061,NA,NA
"median educ",35,8,8,NA,NA,8,NA,NA
"prop educ missing",35,0.025,0.029,NA,NA,0.029,NA,NA
"prop own",35,0.306,0.251,NA,NA,0.249,NA,NA
"prop rent",35,0.495,0.471,NA,NA,0.488,NA,NA
"prop own/rent missing",35,0.198,0.278,NA,NA,0.262,NA,NA
"prop rural",35,0.099,0.088,NA,NA,0.087,NA,NA
"prop urban",35,0.886,0.894,NA,NA,0.895,NA,NA
"prop rural/urban missing",35,0.015,0.019,NA,NA,0.018,NA,NA
"prop ssn yes",35,0.031,0.032,NA,NA,0.033,NA,NA
"prop ssn no",35,0.014,0.012,NA,NA,0.012,NA,NA
"prop ssn info missing",35,0.955,0.956,NA,NA,0.955,NA,NA
"prop head",35,0.814,0.734,NA,NA,0.749,NA,NA
"prop not head",35,0.179,0.254,NA,NA,0.239,NA,NA
"prop hh_head missing",35,0.007,0.012,NA,NA,0.012,NA,NA
"# obs",40,44527,186021,592590,49687470,73046,276143,24805933
"median income",40,950,880,NA,NA,900,NA,NA
"prop inc missing",40,0.076,0.082,NA,NA,0.083,NA,NA
"prop inc zero",40,0.263,0.237,NA,NA,0.222,NA,NA
"prop white",40,0.968,0.946,NA,NA,0.912,NA,NA
"prop black",40,0.03,0.049,NA,NA,0.084,NA,NA
"prop other",40,0.001,0.001,NA,NA,0.001,NA,NA
"prop race missing",40,0.002,0.004,NA,NA,0.003,NA,NA
"prop high school",40,0.242,0.212,NA,NA,0.22,NA,NA
"prop college",40,0.062,0.048,NA,NA,0.049,NA,NA
"median educ",40,8,8,NA,NA,8,NA,NA
"prop educ missing",40,0.024,0.03,NA,NA,0.029,NA,NA
"prop own",40,0.396,0.324,NA,NA,0.316,NA,NA
"prop rent",40,0.445,0.438,NA,NA,0.446,NA,NA
"prop own/rent missing",40,0.158,0.237,NA,NA,0.237,NA,NA
"prop rural",40,0.089,0.075,NA,NA,0.077,NA,NA
"prop urban",40,0.899,0.906,NA,NA,0.906,NA,NA
"prop rural/urban missing",40,0.013,0.019,NA,NA,0.017,NA,NA
"prop ssn yes",40,0.03,0.03,NA,NA,0.031,NA,NA
"prop ssn no",40,0.015,0.014,NA,NA,0.013,NA,NA
"prop ssn info missing",40,0.955,0.956,NA,NA,0.955,NA,NA
"prop head",40,0.854,0.775,NA,NA,0.776,NA,NA
"prop not head",40,0.139,0.212,NA,NA,0.209,NA,NA
"prop hh_head missing",40,0.007,0.013,NA,NA,0.015,NA,NA
"# obs",45,29439,190692,443475,49687470,66320,176706,24805933
"median income",45,800,788,NA,NA,800,NA,NA
"prop inc missing",45,0.089,0.086,NA,NA,0.091,NA,NA
"prop inc zero",45,0.294,0.268,NA,NA,0.255,NA,NA
"prop white",45,0.967,0.958,NA,NA,0.924,NA,NA
"prop black",45,0.031,0.039,NA,NA,0.073,NA,NA
"prop other",45,0,0.001,NA,NA,0.001,NA,NA
"prop race missing",45,0.002,0.003,NA,NA,0.002,NA,NA
"prop high school",45,0.211,0.185,NA,NA,0.198,NA,NA
"prop college",45,0.053,0.042,NA,NA,0.043,NA,NA
"median educ",45,8,8,NA,NA,8,NA,NA
"prop educ missing",45,0.029,0.031,NA,NA,0.031,NA,NA
"prop own",45,0.485,0.418,NA,NA,0.395,NA,NA
"prop rent",45,0.382,0.388,NA,NA,0.408,NA,NA
"prop own/rent missing",45,0.132,0.193,NA,NA,0.196,NA,NA
"prop rural",45,0.077,0.068,NA,NA,0.073,NA,NA
"prop urban",45,0.91,0.916,NA,NA,0.912,NA,NA
"prop rural/urban missing",45,0.013,0.016,NA,NA,0.015,NA,NA
"prop ssn yes",45,0.028,0.029,NA,NA,0.027,NA,NA
"prop ssn no",45,0.016,0.015,NA,NA,0.015,NA,NA
"prop ssn info missing",45,0.955,0.956,NA,NA,0.958,NA,NA
"prop head",45,0.883,0.819,NA,NA,0.817,NA,NA
"prop not head",45,0.109,0.169,NA,NA,0.168,NA,NA
"prop hh_head missing",45,0.008,0.012,NA,NA,0.015,NA,NA
"# obs",50,17465,198500,244707,49687470,67216,76529,24805933
"median income",50,600,600,NA,NA,625,NA,NA
"prop inc missing",50,0.092,0.089,NA,NA,0.095,NA,NA
"prop inc zero",50,0.334,0.302,NA,NA,0.288,NA,NA
"prop white",50,0.972,0.964,NA,NA,0.937,NA,NA
"prop black",50,0.026,0.033,NA,NA,0.06,NA,NA
"prop other",50,0,0.001,NA,NA,0.001,NA,NA
"prop race missing",50,0.001,0.003,NA,NA,0.002,NA,NA
"prop high school",50,0.195,0.16,NA,NA,0.172,NA,NA
"prop college",50,0.052,0.039,NA,NA,0.04,NA,NA
"median educ",50,8,8,NA,NA,8,NA,NA
"prop educ missing",50,0.031,0.033,NA,NA,0.034,NA,NA
"prop own",50,0.537,0.463,NA,NA,0.437,NA,NA
"prop rent",50,0.34,0.353,NA,NA,0.371,NA,NA
"prop own/rent missing",50,0.122,0.183,NA,NA,0.191,NA,NA
"prop rural",50,0.079,0.066,NA,NA,0.07,NA,NA
"prop urban",50,0.907,0.92,NA,NA,0.915,NA,NA
"prop rural/urban missing",50,0.014,0.015,NA,NA,0.015,NA,NA
"prop ssn yes",50,0.025,0.027,NA,NA,0.026,NA,NA
"prop ssn no",50,0.02,0.017,NA,NA,0.018,NA,NA
"prop ssn info missing",50,0.955,0.956,NA,NA,0.956,NA,NA
"prop head",50,0.893,0.83,NA,NA,0.823,NA,NA
"prop not head",50,0.1,0.159,NA,NA,0.163,NA,NA
"prop hh_head missing",50,0.007,0.012,NA,NA,0.014,NA,NA
"# obs",55,5944,162329,97156,49687470,48292,19721,24805933
"median income",55,360,444,NA,NA,481,NA,NA
"prop inc missing",55,0.089,0.095,NA,NA,0.095,NA,NA
"prop inc zero",55,0.382,0.338,NA,NA,0.321,NA,NA
"prop white",55,0.969,0.971,NA,NA,0.948,NA,NA
"prop black",55,0.03,0.027,NA,NA,0.05,NA,NA
"prop other",55,0,0,NA,NA,0,NA,NA
"prop race missing",55,0.001,0.002,NA,NA,0.002,NA,NA
"prop high school",55,0.169,0.137,NA,NA,0.147,NA,NA
"prop college",55,0.048,0.034,NA,NA,0.034,NA,NA
"median educ",55,8,8,NA,NA,8,NA,NA
"prop educ missing",55,0.03,0.035,NA,NA,0.034,NA,NA
"prop own",55,0.567,0.506,NA,NA,0.481,NA,NA
"prop rent",55,0.309,0.32,NA,NA,0.336,NA,NA
"prop own/rent missing",55,0.124,0.174,NA,NA,0.182,NA,NA
"prop rural",55,0.076,0.067,NA,NA,0.071,NA,NA
"prop urban",55,0.914,0.917,NA,NA,0.913,NA,NA
"prop rural/urban missing",55,0.01,0.016,NA,NA,0.016,NA,NA
"prop ssn yes",55,0.025,0.025,NA,NA,0.025,NA,NA
"prop ssn no",55,0.018,0.019,NA,NA,0.018,NA,NA
"prop ssn info missing",55,0.957,0.956,NA,NA,0.956,NA,NA
"prop head",55,0.893,0.84,NA,NA,0.832,NA,NA
"prop not head",55,0.099,0.149,NA,NA,0.154,NA,NA
"prop hh_head missing",55,0.008,0.011,NA,NA,0.013,NA,NA
"# obs",60,1285,142268,22313,49687470,42346,2063,24805933
"median income",60,240,210,NA,NA,255,NA,NA
"prop inc missing",60,0.093,0.105,NA,NA,0.108,NA,NA
"prop inc zero",60,0.4,0.398,NA,NA,0.381,NA,NA
"prop white",60,0.959,0.972,NA,NA,0.951,NA,NA
"prop black",60,0.037,0.025,NA,NA,0.046,NA,NA
"prop other",60,0,0.001,NA,NA,0,NA,NA
"prop race missing",60,0.004,0.002,NA,NA,0.002,NA,NA
"prop high school",60,0.152,0.132,NA,NA,0.138,NA,NA
"prop college",60,0.044,0.033,NA,NA,0.032,NA,NA
"median educ",60,8,8,NA,NA,8,NA,NA
"prop educ missing",60,0.037,0.037,NA,NA,0.037,NA,NA
"prop own",60,0.579,0.541,NA,NA,0.512,NA,NA
"prop rent",60,0.275,0.28,NA,NA,0.298,NA,NA
"prop own/rent missing",60,0.145,0.179,NA,NA,0.189,NA,NA
"prop rural",60,0.073,0.067,NA,NA,0.072,NA,NA
"prop urban",60,0.914,0.916,NA,NA,0.913,NA,NA
"prop rural/urban missing",60,0.013,0.016,NA,NA,0.015,NA,NA
"prop ssn yes",60,0.023,0.021,NA,NA,0.022,NA,NA
"prop ssn no",60,0.023,0.022,NA,NA,0.02,NA,NA
"prop ssn info missing",60,0.954,0.957,NA,NA,0.958,NA,NA
"prop head",60,0.871,0.835,NA,NA,0.825,NA,NA
"prop not head",60,0.124,0.154,NA,NA,0.162,NA,NA
"prop hh_head missing",60,0.005,0.011,NA,NA,0.014,NA,NA
"# obs",65,142,119051,2989,49687470,35711,73,24805933
"median income",65,0,0,NA,NA,0,NA,NA
"prop inc missing",65,0.042,0.117,NA,NA,0.119,NA,NA
"prop inc zero",65,0.528,0.502,NA,NA,0.484,NA,NA
"prop white",65,0.958,0.971,NA,NA,0.95,NA,NA
"prop black",65,0.042,0.026,NA,NA,0.048,NA,NA
"prop other",65,0,0,NA,NA,0.001,NA,NA
"prop race missing",65,0,0.002,NA,NA,0.002,NA,NA
"prop high school",65,0.183,0.117,NA,NA,0.12,NA,NA
"prop college",65,0.042,0.031,NA,NA,0.029,NA,NA
"median educ",65,8,8,NA,NA,8,NA,NA
"prop educ missing",65,0.035,0.041,NA,NA,0.041,NA,NA
"prop own",65,0.606,0.554,NA,NA,0.529,NA,NA
"prop rent",65,0.282,0.25,NA,NA,0.266,NA,NA
"prop own/rent missing",65,0.113,0.195,NA,NA,0.204,NA,NA
"prop rural",65,0.113,0.071,NA,NA,0.075,NA,NA
"prop urban",65,0.88,0.913,NA,NA,0.909,NA,NA
"prop rural/urban missing",65,0.007,0.016,NA,NA,0.016,NA,NA
"prop ssn yes",65,0.014,0.016,NA,NA,0.017,NA,NA
"prop ssn no",65,0.035,0.026,NA,NA,0.024,NA,NA
"prop ssn info missing",65,0.951,0.958,NA,NA,0.959,NA,NA
"prop head",65,0.887,0.818,NA,NA,0.811,NA,NA
"prop not head",65,0.113,0.171,NA,NA,0.177,NA,NA
"prop hh_head missing",65,0,0.01,NA,NA,0.012,NA,NA
"# obs",70,11,87246,314,49687470,24291,6,24805933
"median income",70,0,0,NA,NA,0,NA,NA
"prop inc missing",70,0.273,0.144,NA,NA,0.14,NA,NA
"prop inc zero",70,0.636,0.648,NA,NA,0.643,NA,NA
"prop white",70,0.909,0.977,NA,NA,0.959,NA,NA
"prop black",70,0.091,0.02,NA,NA,0.038,NA,NA
"prop other",70,0,0,NA,NA,0.001,NA,NA
"prop race missing",70,0,0.002,NA,NA,0.002,NA,NA
"prop high school",70,0.091,0.105,NA,NA,0.104,NA,NA
"prop college",70,0.091,0.028,NA,NA,0.025,NA,NA
"median educ",70,8,8,NA,NA,8,NA,NA
"prop educ missing",70,0.182,0.043,NA,NA,0.042,NA,NA
"prop own",70,0.364,0.57,NA,NA,0.55,NA,NA
"prop rent",70,0.455,0.212,NA,NA,0.226,NA,NA
"prop own/rent missing",70,0.182,0.218,NA,NA,0.224,NA,NA
"prop rural",70,0.091,0.071,NA,NA,0.075,NA,NA
"prop urban",70,0.909,0.912,NA,NA,0.908,NA,NA
"prop rural/urban missing",70,0,0.017,NA,NA,0.017,NA,NA
"prop ssn yes",70,0,0.008,NA,NA,0.01,NA,NA
"prop ssn no",70,0,0.033,NA,NA,0.031,NA,NA
"prop ssn info missing",70,1,0.959,NA,NA,0.959,NA,NA
"prop head",70,0.818,0.796,NA,NA,0.789,NA,NA
"prop not head",70,0.182,0.193,NA,NA,0.199,NA,NA
"prop hh_head missing",70,0,0.011,NA,NA,0.012,NA,NA
"# obs",75,2,53601,164,49687470,12281,0,24805933
"median income",75,852,0,NA,NA,0,NA,NA
"prop inc missing",75,0,0.158,NA,NA,0.155,NA,NA
"prop inc zero",75,0.5,0.723,NA,NA,0.73,NA,NA
"prop white",75,1,0.979,NA,NA,0.961,NA,NA
"prop black",75,0,0.019,NA,NA,0.037,NA,NA
"prop other",75,0,0.001,NA,NA,0,NA,NA
"prop race missing",75,0,0.002,NA,NA,0.001,NA,NA
"prop high school",75,0,0.089,NA,NA,0.085,NA,NA
"prop college",75,0,0.022,NA,NA,0.02,NA,NA
"median educ",75,6.5,8,NA,NA,8,NA,NA
"prop educ missing",75,0,0.049,NA,NA,0.048,NA,NA
"prop own",75,1,0.551,NA,NA,0.532,NA,NA
"prop rent",75,0,0.18,NA,NA,0.194,NA,NA
"prop own/rent missing",75,0,0.268,NA,NA,0.273,NA,NA
"prop rural",75,0,0.071,NA,NA,0.076,NA,NA
"prop urban",75,1,0.91,NA,NA,0.906,NA,NA
"prop rural/urban missing",75,0,0.019,NA,NA,0.019,NA,NA
"prop ssn yes",75,0,0.004,NA,NA,0.005,NA,NA
"prop ssn no",75,0,0.036,NA,NA,0.036,NA,NA
"prop ssn info missing",75,1,0.96,NA,NA,0.959,NA,NA
"prop head",75,1,0.743,NA,NA,0.741,NA,NA
"prop not head",75,0,0.245,NA,NA,0.246,NA,NA
"prop hh_head missing",75,0,0.012,NA,NA,0.014,NA,NA
